------------ VAE architecture optimization ------------
DATE: 23/05/2022
k = 5e-6
epochs = 5000
batch_size = 256
optimizer = Adam (default)

----------------------------------------------------------------------
|  Trial  |    Architecture    |       FID       | Training time [s] |
|   285   |  [347, 128, 273]   |    0.001485     |       74.4        |
|   286   |  [330, 190, 316]   |    0.000741     |       74.8        |
|   287   |  [390, 194, 279]   |    0.001599     |       74.2        |
|   288   |  [979, 218, 288]   |    0.002061     |       74.8        |
|   289   |  [365, 186, 830]   |    0.001086     |       74.1        |
|   290   |  [408, 177, 315]   |    0.001009     |       75.2        |
|   291   |  [333, 146, 257]   |    0.001180     |       73.7        |
|   292   |  [456, 201, 239]   |    0.001361     |       74.6        |
|   293   |  [297, 165, 489]   |    0.091938     |       74.2        |
|   294   |  [315, 150, 263]   |    0.001800     |       74.0        |
|   295   |     [240, 294]     |    0.013825     |       60.1        |
|   296   |  [885, 190, 309]   |    0.012477     |       75.1        |
|   297   |  [379, 176, 245]   |    0.001296     |       74.9        |
|   298   |  [480, 145, 269]   |    0.001151     |       74.9        |
|   299   |  [418, 211, 325]   |    0.000999     |       74.9        |
|   300   |  [356, 129, 285]   |    0.001074     |       74.0        |
|   301   |  [270, 162, 231]   |    0.001363     |       74.6        |
|   302   |  [336, 180, 255]   |    0.001288     |       73.7        |
|   303   |  [397, 149, 339]   |    0.001024     |       74.8        |
|   304   |  [437, 166, 195]   |    0.001091     |       74.8        |
|   305   |  [304, 225, 292]   |    0.001388     |       75.0        |
|   306   |  [908, 194, 272]   |    0.470716     |       74.0        |
|   307   |  [376, 144, 311]   |    0.001107     |       73.1        |
|   308   |  [407, 177, 223]   |    0.001176     |       75.2        |
|   309   |  [349, 574, 283]   |    0.002624     |       73.4        |
|   310   |  [327, 162, 253]   |    0.001136     |       73.4        |
|   311   |  [425, 145, 241]   |    0.001241     |       75.1        |
|   312   |  [580, 196, 267]   |    0.001228     |       74.1        |
|   313   |  [453, 128, 451]   |    0.001061     |       74.9        |
|   314   |  [717, 211, 328]   |    0.578850     |       75.0        |
|   315   |  [248, 174, 212]   |    0.000987     |       74.6        |
|   316   |  [221, 392, 204]   |    0.004623     |       73.1        |
|   317   |  [255, 420, 171]   |    0.002121     |       74.7        |
|   318   |  [278, 182, 221]   |    0.001177     |       75.1        |
|   319   |  [249, 166, 192]   |    0.001329     |       74.9        |
|   320   |  [765, 203, 231]   |    0.028234     |       74.8        |
|   321   |  [296, 248, 204]   |    0.000796     |       70.3        |
|   322   |  [237, 263, 208]   |    0.001098     |       71.7        |
|   323   |  [282, 217, 158]   |    0.001162     |       75.3        |
|   324   |  [308, 247, 183]   |    0.001451     |       75.4        |
|   325   |  [198, 233, 208]   |    0.001162     |       73.7        |
|   326   |  [266, 192, 234]   |    0.001621     |       74.9        |
|   327   |  [295, 276, 222]   |    0.001477     |       71.9        |
|   328   |  [497, 239, 251]   |    0.001048     |       74.9        |
|   329   |  [528, 178, 195]   |    0.001188     |       74.6        |
|   330   |  [313, 217, 242]   |    0.001307     |       73.1        |
|   331   |  [420, 196, 217]   |    0.001053     |       74.4        |
|   332   |  [732, 168, 143]   |    0.002402     |       75.3        |
|   333   |     [185, 262]     |    0.010162     |       60.3        |
|   334   |  [236, 651, 179]   |    0.006655     |       77.3        |
|   335   |  [286, 158, 237]   |    0.001099     |       73.5        |
|   336   |  [389, 217, 554]   |    0.002366     |       74.2        |
|   337   |  [446, 257, 270]   |    0.015830     |       72.3        |
|   338   |  [794, 154, 212]   |    0.002106     |       75.1        |
|   339   |  [322, 176, 253]   |    0.001609     |       76.9        |
|   340   |  [701, 128, 271]   |    0.001603     |       75.0        |
|   341   |  [561, 445, 422]   |    0.001280     |       73.5        |
|   342   |  [260, 297, 295]   |    0.059071     |       71.4        |
|   343   |  [408, 201, 239]   |    0.001163     |       74.8        |
|   344   |  [299, 148, 192]   |    0.001439     |       73.6        |
|   345   |  [335, 168, 284]   |    0.001162     |       71.3        |
|   346   |  [433, 185, 222]   |    0.001140     |       75.1        |
|   347   |  [370, 532, 255]   |    0.003826     |       74.4        |
|   348   |  [749, 143, 303]   |    0.387743     |       75.3        |
|   349   |  [618, 206, 202]   |    0.001823     |       74.6        |
|   350   |  [385, 231, 732]   |    0.027396     |       76.4        |
|   351   |  [316, 169, 281]   |    0.001587     |       74.9        |
|   352   |  [468, 153, 246]   |    0.001414     |       75.2        |
|   353   |  [272, 179, 265]   |    0.001180     |       74.3        |
|   354   |  [600, 137, 226]   |    0.000895     |       74.4        |
|   355   |  [597, 134, 229]   |    0.001672     |       74.3        |
|   356   |  [614, 139, 257]   |    0.001221     |       74.9        |
|   357   |  [665, 157, 284]   |    0.001178     |       74.9        |
|   358   |  [634, 772, 304]   |    0.005366     |       74.3        |
|   359   |  [575, 131, 239]   |    0.000873     |       74.7        |
|   360   |  [580, 129, 233]   |    0.001153     |       74.0        |
|   361   |  [551, 128, 241]   |    0.001380     |       75.0        |
|   362   |  [537, 148, 220]   |    0.001240     |       74.0        |
|   363   |  [593, 128, 176]   |    0.001314     |       74.0        |
|   364   |  [549, 153, 276]   |    0.000795     |       74.7        |
|   365   |  [563, 144, 268]   |    0.000696     |       73.4        |
|   366   |  [546, 147, 588]   |    0.001069     |       74.2        |
|   367   |  [517, 144, 276]   |    0.001252     |       73.6        |
|   368   |  [561, 128, 267]   |    0.591677     |       74.9        |
|   369   |  [582, 152, 249]   |    0.001142     |       74.9        |
|   370   |  [571, 159, 291]   |    0.000942     |       75.0        |
|   371   |  [560, 160, 295]   |    0.079614     |       75.0        |
|   372   |  [570, 142, 329]   |    0.001349     |       74.6        |
|   373   |  [598, 128, 286]   |    0.001046     |       75.1        |
|   374   |  [540, 163, 298]   |    0.000888     |       75.0        |
|   375   |     [166, 311]     |    0.014963     |       60.3        |
|   376   |  [542, 158, 286]   |    0.004784     |       74.7        |
|   377   |  [569, 156, 305]   |    0.001561     |       75.0        |
|   378   |  [512, 160, 523]   |    36.940568    |       73.8        |
|   379   |  [580, 145, 335]   |    0.001043     |       74.5        |
|   380   |  [529, 170, 295]   |    0.002667     |       75.1        |
|   381   |  [594, 144, 351]   |    0.641606     |       74.7        |
|   382   |  [548, 178, 277]   |    0.140004     |       74.7        |
|   383   |  [558, 159, 271]   |    0.001361     |       74.5        |
|   384   |  [570, 143, 324]   |    0.000865     |       74.6        |
|   385   |  [529, 187, 362]   |    0.223215     |       74.8        |
|   386   |  [568, 164, 328]   |    0.001684     |       73.4        |
|   387   |  [539, 143, 788]   |    0.141753     |       74.2        |
|   388   |  [579, 175, 317]   |    0.000859     |       75.2        |
|   389   |  [576, 183, 380]   |    0.045795     |       74.8        |
|   390   |  [608, 172, 351]   |    0.318336     |       74.4        |
|   391   |  [587, 190, 323]   |    0.001023     |       74.8        |
|   392   |  [558, 155, 317]   |    0.001058     |       75.1        |
|   393   |  [577, 143, 332]   |    0.001147     |       74.5        |
|   394   |  [603, 172, 308]   |    0.002833     |       73.2        |
|   395   |  [491, 143, 346]   |    0.000969     |       74.4        |
|   396   |  [541, 192, 919]   |    0.015534     |       73.8        |
|   397   |  [517, 608, 300]   |    10.760308    |       73.4        |
|   398   |  [568, 704, 264]   |    0.080194     |       72.0        |
|   399   |  [552, 128, 316]   |    0.001470     |       74.3        |
|   400   |  [593, 314, 400]   |    0.002483     |       73.4        |
|   401   |  [977, 158, 294]   |    0.077390     |       74.9        |
|   402   |  [552, 173, 474]   |    0.001319     |       74.1        |
|   403   |  [577, 196, 260]   |    0.000894     |       73.3        |
|   404   |  [611, 205, 279]   |    0.832027     |       73.7        |
|   405   |  [580, 193, 260]   |    0.000979     |       73.5        |
|   406   |  [572, 853, 296]   |    0.015505     |       75.2        |
|   407   |  [622, 180, 337]   |    0.043347     |       74.5        |
|   408   |  [542, 224, 260]   |    0.001915     |       73.6        |
|   409   |  [508, 202, 317]   |    0.001591     |       74.9        |
|   410   |  [590, 160, 278]   |    0.001290     |       78.5        |
|   411   |  [562, 144, 233]   |    0.001177     |       74.9        |
|   412   |     [347, 291]     |    0.021047     |       59.0        |
|   413   |  [581, 183, 364]   |    0.504551     |       75.0        |
|   414   |  [533, 168, 251]   |    0.001469     |       75.1        |
|   415   |  [480, 128, 311]   |    0.001431     |       74.8        |
|   416   |  [608, 275, 270]   |    0.305949     |       74.0        |
|   417   |  [558, 249, 224]   |    0.238887     |       74.4        |
|   418   |  [530, 210, 248]   |    0.000866     |       74.4        |
|   419   |  [504, 211, 241]   |    0.001530     |       73.9        |
|   420   |  [533, 217, 205]   |    0.006467     |       74.0        |
|   421   |  [526, 191, 628]   |    0.001002     |       73.9        |
|   422   |  [517, 234, 251]   |    0.012609     |       74.6        |
|   423   |  [460, 206, 219]   |    0.001104     |       74.1        |
|   424   |  [547, 256, 238]   |    0.146208     |       74.7        |
|   425   |  [493, 228, 265]   |    0.001391     |       74.0        |
|   426   |  [597, 506, 257]   |    0.002038     |       74.3        |
|   427   |  [555, 193, 198]   |    0.000893     |       73.6        |
